CustomerID,Gender,Age,Annual Income,Spending Score
123,1,39,69,91
122,0,40,69,58
125,0,31,70,77
129,1,38,71,75
131,1,39,71,75
127,1,40,71,95
133,0,31,72,71
135,0,29,73,88
137,1,32,73,73
139,0,35,74,72
141,1,32,75,93
143,0,32,76,87
145,1,28,77,97
147,0,32,77,74
155,0,27,78,89
157,0,30,78,78
159,0,30,78,73
149,1,34,78,90
153,0,38,78,76
151,1,39,78,88
161,0,29,79,83
163,0,31,81,93
165,0,36,85,75
167,0,33,86,95
171,1,28,87,75
169,1,32,87,63
173,1,36,87,92
177,1,27,88,69
175,0,30,88,86
179,1,35,93,90
181,0,32,97,86
183,0,29,98,88
185,1,30,99,97
187,1,28,101,68
191,0,32,103,69
189,0,36,103,85
193,0,38,113,91
195,0,35,120,79
197,1,32,126,74
199,1,30,137,83
